rat_stars,rat_amt_spent,hotel_id,member_id,air_code,dest_id,highlight_id
5,1066,8,3,B6,56,16
1,2158,7,10,B6,41,13
3,1571,5,5,BA,17,5
4,1085,3,86,AA,56,1
2,2352,4,95,AC,11,6
1,1992,5,91,AA,29,6
3,1547,4,47,AF,59,5
5,2789,7,62,B6,10,12
1,2488,1,59,7C,57,14
5,1129,10,58,AC,14,7
2,1905,7,95,AS,33,17
1,2496,9,18,AA,25,3
4,2510,7,8,BA,31,6
3,2457,7,43,CA,4,9
5,1133,1,93,CA,59,11
5,1523,7,86,AS,18,14
3,1434,10,92,7C,11,17
5,2460,3,72,AS,17,11
2,2381,10,8,BA,26,15
4,2451,3,74,AF,36,8
2,2260,8,77,AA,22,16
2,1357,5,78,AC,11,13
1,1052,5,67,B6,42,14
4,1057,4,12,AC,16,11
1,2044,2,28,AF,44,14
3,1223,6,78,CA,7,15
4,2957,6,60,7C,32,7
4,1911,2,53,7C,3,2
4,1453,8,30,AC,24,10
1,2432,10,87,AC,46,5
3,2951,9,21,AC,53,9
1,2104,2,94,BA,35,15
3,2177,1,7,AA,53,2
1,1363,4,38,AC,34,14
2,1958,4,72,AA,15,11
3,1787,3,55,BA,28,3
1,1583,1,83,7C,45,10
1,1692,2,42,CA,35,5
3,1040,2,61,AA,16,6
1,2765,2,75,AS,20,4
2,1854,6,64,7C,39,8
4,2223,5,57,7C,56,6
1,2581,5,3,AF,6,1
2,1400,2,52,7C,37,8
5,1750,7,41,BA,32,9
1,1722,6,70,7C,3,17
1,1437,8,48,AF,33,10
4,2930,6,6,AC,12,15
2,1237,3,72,AC,8,11
1,2751,10,12,AA,32,3
5,2287,4,76,B6,24,12
3,2807,3,46,B6,9,11
3,1552,3,5,B6,15,2
1,2539,3,40,BA,32,14
3,2035,1,7,B6,59,5
1,1550,8,68,BA,51,14
5,1436,4,97,AA,2,16
2,1213,7,60,AF,57,15
1,2701,8,23,AA,33,5
3,2202,5,100,7C,14,12
3,1795,9,69,CA,19,6
2,2252,7,30,AF,45,3
2,2271,10,86,BA,47,15
3,1256,4,83,AS,34,1
3,2684,6,58,B6,56,15
3,2208,5,66,AS,17,8
2,1652,10,7,AF,50,4
2,1647,7,63,AA,10,5
5,2915,3,7,AS,48,17
5,2789,10,16,AC,12,1
1,1819,7,3,CA,18,8
3,1397,1,40,BA,56,12
3,2295,6,53,BA,5,10
5,2356,7,32,AS,8,16
5,1869,1,56,BA,46,12
5,2276,5,34,B6,3,12
2,1719,3,19,B6,43,9
3,1320,3,48,AC,52,3
5,1048,10,98,AF,4,4
2,1073,10,78,B6,60,5
5,1897,7,52,AS,53,10
5,1390,3,57,BA,37,1
5,2649,8,78,AF,37,2
4,1504,3,85,BA,26,15
3,2361,3,100,AS,11,14
1,1669,6,78,AS,50,3
2,2326,9,14,B6,1,1
4,1403,7,80,AA,41,13
3,2489,3,49,7C,47,5
2,1576,8,66,AS,58,3
1,2384,7,50,BA,19,6
3,2740,7,57,AC,22,13
4,2645,8,20,CA,11,15
1,2453,6,31,AA,37,12
3,2779,6,44,B6,24,3
5,1977,1,16,AA,4,9
5,1363,10,40,AC,1,6
5,1300,7,51,AC,3,8
1,2467,8,21,BA,38,10
3,2552,1,88,AS,53,3
4,2393,3,82,AS,16,13
4,2653,1,64,B6,48,12
5,1890,10,78,CA,38,7
4,1595,8,30,B6,6,3
5,1819,3,68,AA,57,15
5,1378,10,25,AS,39,8
1,2070,5,98,AF,22,3
1,1286,8,62,AF,12,1
2,1656,4,5,AS,20,5
4,2997,10,2,CA,56,3
4,1993,1,74,AA,55,10
2,1053,3,63,AA,36,4
3,2372,3,37,BA,25,4
4,1069,9,40,BA,5,16
3,1869,10,26,7C,18,15
2,1047,5,46,AC,3,1
1,1207,10,82,7C,52,5
3,2590,3,71,AS,12,15
2,2779,3,81,AF,30,14
1,2875,7,56,AA,27,16
3,2879,6,99,BA,36,15
4,1485,2,85,CA,32,17
1,1910,8,56,B6,52,2
2,2904,3,9,BA,51,4
3,2235,6,100,AS,40,11
4,2032,10,22,AA,20,12
4,2612,5,86,AF,35,1
4,2625,4,10,7C,44,6
5,1160,1,61,BA,3,13
4,2936,1,98,CA,26,15
